contact,material_recovery_facility,rail_access,year,icon,notes,website,email,fax,phone,cartodb_id,operating_hours,pickup,number_of_employees,materials_accepted,materials_category,recycler_type,permit_number,company_name,county,address,longitude,latitude
,,,2015,Processor,,,,,229-776-4629,139,,,,Scrap tires,Scrap Tires,,,"New Holland Tire, Inc. ",Worth,,-83.727792,31.50531
Dustin Holland,,TRUE,2015,Processor,"Accepts books from colleges, universities, bookstores, and at drop-off locations throughout GA. See website for drop-off locations.",www.betterworldbooks.com,help@betterworldbooks.com,,678-646-5101,36,24 hours,Yes,35,Books,Paper,"Collector, Processor",,Better World Books,Fulton,,-84.2741168,34.0590771
Gerald Collins,,FALSE,2015,Processor,,,colsauto@att.net,770-513-1710,770-963-2650,55,"8-5 M-F, 8-2:30 Sa",No,5,"Metals, ferrous metals, non-ferrous metals, autos, aluminum cans, metal appliances",Metal,"Collector, Processor",,"Collins Auto Salvage, Inc.",Barrow,,-83.8286316,34.0425875
,TRUE,,2015,Processor,,,,,,125,,,,,Single-stream,,060-094P(MRF),"MBA Waste Services, LLC MRF",Fulton,,-84.5494,33.58557
Norman Paschall,,TRUE,2015,Processor,Processes textile waste.,www.paschall.com,fibers@paschall.com,770-487-0840,770-487-7945,151,8:30-5 M-F,Yes,50,"Textiles, cotton blends, coats, card wastes, sweeps",Textiles,"Collector, Processor",,"Norman W. Paschall Co., Inc.",Fayette,,-84.5895482,33.3869899
,,TRUE,2015,Processor,MRF accepts single-stream and source-separated materials. Accepts clean loads of OCC and mixed paper.,www.prattindustries.com,,770-602-1189,770-602-1190,167,24 hours,Yes,100,"Mixed paper, cardboard, office paper, newspaper, telephone books, magazines, other paper, PET, HDPE, PP, PVC, PS, film plastic, clear glass, brown glass, green glass, steel cans, aluminum cans",Single-stream,"Collector, Processor, Broker",,"Pratt Recycling, Inc.",Rockdale,,-83.9844169,33.668396
Chip Koplin,,TRUE,2015,Processor,,www.schnitzersteel.com,,706-256-4909,706-987-8400,204,"8-4:30 M-F, 8-noon Sa",Yes,,"Ferrous metals, non-ferrous metals",Metal,"Collector, Processor",,Schnitzer Southeast,Muscogee,,-84.97711,32.454294
Ben Zarco,,FALSE,2015,Processor,Call for details and prices.,,,706-369-9361,706-548-9025,24,8-5 M-Sa,No,5,"Non-ferrous metals, copper, stainless steel, radiators, brass, aluminum",Metal,Collector,,"Athens Recycling, Inc.",Jackson,,-83.4128215,34.0517733
Sam Miller,,FALSE,2015,Processor,"Picks up truckload quantities of clean, wax-coated corrugated box containers",www.enviro-log.net,smiller@enviro-log.net,229-423-7232,229-423-7223,76,"8-5, M-F",Yes,,"Wax-coated cardboard, cardboard",Paper,"Collector, Processor",,"Enviro-Log, Inc.",Ben Hill,,-83.247771,31.699367
Michael Buchanan,,FALSE,2015,Processor,Processes most curbside plastics and handles commercial-grade plastics.,www.greensenserecycling.com,michael.buchanan@greensenserecycycling.com,,770-838-1313,98,6-6 M-F,Yes,,"Cardboard, mixed paper, HDPE, PET, LDPE, TPO, BOPP, HIPS, ferrous metals, non-ferrous metals",Single-stream,"Collector, Processor, Broker",,Green Sense Recycling,Carroll,,-85.123639,33.558979
Devant Wainwright,TRUE,,2015,Processor,,,,,912-466-9144,116,,,,,Single-stream,,063-027P(MRF),Liberty Roll-Offs & Recycling,Glynn,,-81.49597778,31.19469722
,FALSE,FALSE,2015,Processor,Accepts salvage/junk vehicles. ,www.pullapart.com,,,770-242-8844,173,8-6 M-Su,Yes,,Autos,Metal,"Collector, Processor",,Pull-A-Part,DeKalb,,-84.329079,33.66741
Brian Roach,,TRUE,2015,Processor,"Minimum 12,000 lbs. for pick up. No drop-offs.",www.sonoco.com,brian.roach@sonoco.com,404-522-2135,404-522-9125,213,7-3:30 M-F,Yes,8,"Cardboard, white ledger, mixed paper, ONP, standard office paper, paper, newspaper, cardboard, mixed paper, magazines, other paper, office paper",Paper,"Collector, Processor",,Sonoco Recycling,Fulton,,-84.385878,33.720174
,,FALSE,2015,Processor,"Remanufactures printer ribbons, ink jet, laser, fax and toner cartridges from HP, Dell, Brother, Canon, Lexmark and OkiData products",www.3rinkandtoner.com,sales@3rinkandtoner.com,404-688-4587,404-688-7277,1,10-6 M-F,Yes,,"Toner cartridges, printer ribbons, inkjet cartridges, copier and FAX toner",Electronics,"Collector, Processor",,3R Ink and Toner,DeKalb,,-84.1881419,33.8583382
Gerard T. Niblack,,TRUE,2015,Processor,,www.computerrepairatlantastore.com,gerardniblack44@gmail.com,,404-259-0183,2,"9-7 M-F, 11-6 Sa",Yes,,"Laptops, motherboards, RAM, video cards, screens, cellphone screens ",Electronics,Broker,,404 Computer Repair,Cobb,,-84.515053,33.938622
,,FALSE,2015,Processor,Roll-off container service for metal pickups.,www.us1recycling.com,,478-252-7000,478-272-2048,241,8-5 M-F,Yes,,"Metals, ferrous metals, metal appliances, autos, non-ferrous metals",Metal,"Collector, Processor",,US 1 Recycling,Laurens,,-82.8448518,32.5182145
Ken Tesler,,FALSE,2015,Processor,"Brass, stainless steel, aluminum, copper wire, titanium, nickel alloy, lead acid batteries, car batteries, appliances, cars. Provides demolition services and industrial roll-offs.",www.abcrecyclingga.com,info@abcrecyclingga.com,,678-290-9866,3,"8-5 M-F, 8-2 Sa",Yes,,"Ferrous metals, non-ferrous metals",Metal,"Collector, Processor",,ABC Recycling,Cobb,,-84.534947,33.965652
Barry Shemaria,,FALSE,2015,Processor,"Broker engineering and commodity-grade plastics, primarily interested in post-industrial materials.",www.ableplastics.com,barry@ableplastics.com,770-565-0922,770-565-1522,4,8-5 M-F,No,5,"PET, HDPE, film plastic, PP, PS, PVC",Plastic,Broker,,Able Plastics,Cobb,,-84.443209,33.978089
,,FALSE,2015,Processor,,www.advancerecycling.com,advancerecycling@windstream.net,706-968-8886,706-839-1085,5,"9-4:30 M-F, 9-11:30 Sa",No,,"Metals, ferrous metals, steel cans, metal appliances, autos, non-ferrous metals, aluminum cans",Metal,"Collector, Processor",,Advance Recycling,Habersham,,-83.627445,34.5738376
William Edmonson,TRUE,,2015,Processor,,www.advanceddisposal.com,william.edmonson@advanceddisposal.com,678-648-1178,678-710-2075,6,7-4:30 M-F,,,,Single-stream,,,"Advanced Disposal Recycling Services Atlanta, LLC",Forsyth,,-84.258506,34.147742
,TRUE,,2015,Processor,,www.advanceddisposal.com,bedwards@advanceddisposal.com,,770-485-8940,7,,,,,Single-stream,,PBR-033-118TS,"Advanced Disposal Recycling Services Atlanta, LLC",Cobb,,-84.580467,33.907007
Devant Wainwright,TRUE,,2015,Processor,,,,,912-466-9144,117,,,,,Single-stream,,063-027P(RM),Liberty Roll-Offs & Recycling,Glynn,,-81.482253,31.134297
,,FALSE,2015,Processor,"Buys empty toner and inkjet cartridges manufactured by HP, Lexmark, Dell, Xerox and Canon. Pick-up available to larger accounts, existing customers, etc. Handled on a case-by-case basis.",www.advlaser.com,sales@advlaser.com,404-351-0911,404-351-2700,8,9-4:30 M-F,Yes,20,"Toner cartridges, inkjet cartridges",Electronics,"Collector, Processor, Broker",,"Advantage Laser Products, Inc.",Fulton,,-84.438001,33.805521
,,,2015,Processor,Manufactures synthetic fuel pellets and crude oil.  ,,,,678-715-8700,9,,,,"Computer equipment, cell phones, televisions, rechargeable batteries, electronics",Electronics,"Collector, Processor",,"Aeris Services, Inc.",Haralson,,-85.2880077,33.7445499
Anthony Robertson,,FALSE,2015,Processor,Community drop-off and recycling event planning for electronics available. Pick-up needs to be about 1/2 a truckload. Manufactures synthetic fuel pellets and crude oil.  ,www.aeriscomputers.com,anthony@aeriscomputers.com,,678-715-8700,10,10-6 M-F,Yes,20,"Computer equipment, cell phones, televisions, rechargeable batteries, electronics",Electronics,"Collector, Processor",,"Aeris Services, Inc.",Douglas,,-84.7885712,33.7392297
