the_geom,contact_name,reporting_year,notes,manager_phone,manager_name,contact_phone,cartodb_id,waste_type,sector,permit_number,facility_name,county,longitude,latitude
0101000020E61000001D554D1075FF54C02942EA76F6394140,,2015,,-,,-,2,,Public,PBR-093-05TS,400 North Landfill Waste Transfer Station,Lumpkin,-83.99152,34.452834
0101000020E6100000B4386398131055C0DB4C857824144140,,2015,,770-619-9658,,-,154,,Private,PBR-058-011TS,Mauldin Drive Transfer Station,Forsyth,-84.251196,34.157363
0101000020E6100000C1ADBB79AAE754C001F6D1A92B034140,Tommy Ledbetter,2015,,770-307-2796,Stacey Stern,770-307-2796,1,,Private,PBR-007-13TS,211 Waste Disposal Transfer Station,Barrow,-83.61978,34.02477
0101000020E61000009A43520B250355C013807F4A952E4140,,2015,,701-216-1485,,-,3,MSW and C&D,Public,PBR-042-12TS,400 Waste & Scrap Transfer Station,Dawson,-84.049136,34.363931
0101000020E61000009F8EC70C542C55C0ED77280AF4094140,"Titan Enterprises, LLC",2015,,678-762-1088,Kyle Tripp,678-762-1088,4,,Private,PBR-033-82TS,"I Haul, Inc. - Acworth Transfer Station",Cobb,-84.69263,34.07776
0101000020E6100000FDBB3E73D61055C0614A24D1CB724140,Advanced Disposal Services,2015,,904-737-7900,Charles C. Appleby,904-737-7900,5,,Private Commercial,PBR-055-15TS,Advanced Disposal Services Transfer Station,Fannin,-84.263089,34.896845
0101000020E610000044FB58C16FD054C0793D98141FC54040,Advanced Disposal Services,2015,,904-737-7900,"Walter H. Hall, Jr.",904-737-7900,6,,Public,PBR-066-011TS,Advanced Disposal Services Transfer Station,Greene,-83.256821,33.540011
0101000020E610000031CEDF84422555C0415DA45016F44040,,2015,,-,,-,7,,Private,PBR-033-118TS,Advanced Disposal Services Transfer Station,Cobb,-84.582185,33.906931
0101000020E610000038F8C264AA8F54C06C239EEC66C24040,Advanced Disposal Services,2015,,706-790-7920,,904-737-7900,8,,Private,"PBR-036-19C0,TS",Advanced Disposal Services Transfer Station,Columbia,-82.244775,33.518766
0101000020E610000072A25D85941155C0452FA3586EF54040,Charley (Rip) Thomson,2015,,770-441-3037,Charley (Rip) Thomson,770-441-3037,9,,Private,PBR-044-146TS,Advanced Disposal Services Transfer Station,DeKalb,-84.27469,33.91743
0101000020E6100000CBA145B6F31F55C0921804560E554140,Charles Appleby,2015,,-,Charles Appleby,904-737-7900,10,,Private,PBR-061-03TS,Advanced Disposal Services Transfer Station,Gilmer,-84.49925,34.6645
0101000020E61000005D50DF32A7F554C0FC1D8A027D224140,Advanced Disposal Services,2015,,904-737-7900,Charles C. Appleby,904-737-7900,11,,Private Commercial,PBR-069-49TS,Advanced Disposal Services Transfer Station,Hall,-83.83833,34.26944
0101000020E61000008D7A8846770655C074EACA6779DE4040,Advanced Disposal Services,2015,,904-737-7900,"Walter H. Hall, Jr.",678-341-7140,12,,Private,PBR-044-144TS,Advanced Disposal Services Transfer Station,DeKalb,-84.10103,33.73808
0101000020E610000053978C6324DF54C0D714C8EC2CC84040,,2015,,-,,-,13,,Private,PBR-104-08TS,Advanced Disposal Services Transfer Station,Morgan,-83.486596,33.563871
0101000020E6100000C05B2041F11355C0C7293A92CB074140,Mark Allen,2015,,770-867-2499,Mark Allen,770-867-2499,14,,Private,PBR-060-118TS-A,Advanced Disposal Services Transfer Station,Fulton,-84.3116,34.0609
0101000020E61000002F88484DBB1F55C0091A33897AEB4040,,2015,,-,,-,15,,Private Commercial,PBR-033-109TS,Advanced Disposal Services Transfer Station,Cobb,-84.495807,33.839677
0101000020E6100000842A357BA02155C0BC96900F7ACE4040,Ric Jarvis,2015,,770-972-2715,Ric Jarvis,770-972-2715,16,,Private,PBR-060-216TS,Advanced Disposal Services Transfer Station,Fulton,-84.52542,33.6131
0101000020E61000005ABBED4273CA54C0A376BF0AF0174040,,2015,,-,,-,98,,Public,PBR-045-04TS,Dodge County Transfer Station,Dodge,-83.163285,32.187013
0101000020E6100000508C2C9963D954C0B56FEEAF1EAB4040,"Charlie Gray, RVP; Mell Sammons",2015,,-,,904-737-7900,17,MSW,Private Commercial,PBR-117-09TS,Advanced Disposal Services Transfer Station,Putnam,-83.396704,33.336874
0101000020E6100000DA722EC555CD54C02C0E677E358F4040,Advanced Disposal Services,2015,,478-453-4435,Christain B. Mills,904-737-7900,18,,Private,PBR-005-12TS,Advanced Disposal Services Transfer Station,Baldwin,-83.20836,33.11882
0101000020E6100000191C25AFCED154C0658D7A88468B4040,Advanced Disposal Services,2015,,904-737-7900,"Walter H. Hall, Jr.",904-737-7900,19,,Private,PBR-005-26TS,Advanced Disposal Services Transfer Station,Baldwin,-83.27824,33.08809
0101000020E61000009F5A7D75553655C06150A6D1E4124140,Advanced Disposal Services,2015,,678-792-7000,"Walter H. Hall, Jr.",904-737-7900,20,,Private,"PBR-008-24COL,TS",Advanced Disposal Services Transfer Station,Bartow,-84.848966,34.147608
0101000020E6100000412B306475FB54C04D2D5BEB8BA44040,Advanced Disposal Services,2015,,770-775-1001,,-,21,,Private,PBR-018-08TS,Advanced Disposal Services Transfer Station,Butts,-83.92904,33.28552
0101000020E610000052B81E85EBFD54C02BDEC83CF2FB4040,Advanced Disposal Services,2015,,770-737-7900,"Walter H. Hall, Jr.",904-737-7900,22,,Private Commercial,PBR-067-787TS,Advanced Disposal Services Transfer Station,Gwinnett,-83.9675,33.96833
0101000020E6100000BA826DC4931155C0317903CC7CF54040,,2015,,-,,-,23,,Private Commercial,PBR-067-781TS,Advanced Disposal Services Transfer Station,Gwinnett,-84.274644,33.917871
0101000020E6100000E9482EFF213F55C076374F75C83D4040,Advanced Disposal Services,2015,,904-737-7900,Charles N. Gray,904-737-7900,24,"MSW, C&D, Industrial",Private Commercial,PBR-106-14TS,Advanced Disposal Services Transfer Station,Muscogee,-84.98645,32.48268
0101000020E61000000373F4F8BDB554C075B0FECF616A4040,Advanced Disposal Services,2015,,904-737-7900,"Walter H. Hall, Jr.",904-737-7900,25,,Private Commercial,PBR-150-06TS,Advanced Disposal Services Transfer Station,Washington,-82.83972,32.83111
0101000020E610000057EA5910CAF054C054707841444C4140,"Harry Barton, Jr.",2015,,-,,706-865-6768,26,,Private,PBR-154-03TS,Advanced Disposal Services Transfer Station,White,-83.762333,34.595833
0101000020E61000004CE141B3EB0155C06A459BE3DC0A4140,,2015,,888-454-1857,,,27,Biomedical,Private,PBR-067-806TS,Advantra Waste Solutions Transfer Station,Gwinnett,-84.030011,34.084866
0101000020E610000033880FECF80855C043E73576891A4140,"Aftermath Services, LLC",2015,Biomedical waste.,630-551-0735,Patricia Heinle,630-551-0735,28,,Private Commercial,PBR-058-341TS,Aftermath Services Transfer Station,Forsyth,-84.140193,34.20732
0101000020E6100000B2F677B6470655C0D47E6B274A8A3F40,Advanced Disposal Services,2015,,904-737-7900,Charles N. Gray,904-737-7900,29,,Private Commercial,PBR-047-32TS,Albany Transfer Station ,Dougherty,-84.098127,31.540194
